pdb1,pdb2,start1,end1,start2,end2,tmscore,len1,len2,raw_score,helix,sheet,loop,class1,arch1,topo1,sfam1,class2,arch2,topo2,sfam2
1ucr_B,5c17_A,3,61,20,76,0.68586,58,56,24561,0.607526882,0.17562724,0.216845878,1,10,10,10,2,40,10,490
1cf7_A,3txn_A,29,83,335,386,0.67437,54,51,24559,0.538947368,0.233684211,0.227368421,1,10,10,10,1,25,40,570
3bdd_D,5c17_A,32,82,26,76,0.6929,50,50,24541,0.769767442,0.11627907,0.113953488,1,10,10,10,2,40,10,490
4g9y_A,3chm_A,39,98,99,157,0.57813,59,58,24540,0.579245283,0.222641509,0.198113208,1,10,10,10,1,25,40,570
4rgx_B,5c17_A,45,96,26,76,0.57927,51,50,24489,0.772839506,0.054320988,0.172839506,1,10,10,10,2,40,10,490
4b8x_B,5c17_A,56,110,19,76,0.74076,54,57,24485,0.764705882,0.119607843,0.115686275,1,10,10,10,2,40,10,490
2hzt_C,5c17_A,17,67,27,76,0.68458,50,49,24464,0.642857143,0.145021645,0.212121212,1,10,10,10,2,40,10,490
1gvd_A,2iw5_B,93,142,381,429,0.78761,49,48,24397,0.716504854,0,0.283495146,1,10,10,60,1,20,58,1880
1xlq_A,2ckj_B,4,57,6,59,0.55795,53,53,24370,0.2,0.283146067,0.516853933,3,10,20,30,3,30,365,10
5hs7_B,5c17_A,20,69,27,76,0.70699,49,49,24368,0.671641791,0.162046908,0.166311301,1,10,10,10,2,40,10,490
5eri_A,3chm_A,59,118,99,157,0.56482,59,58,24349,0.580882353,0.216911765,0.202205882,1,10,10,10,1,25,40,570
1tbx_B,5c17_A,11,65,27,77,0.6572,54,50,24308,0.662745098,0.117647059,0.219607843,1,10,10,10,2,40,10,490
5eri_A,5c17_A,57,107,26,76,0.717,50,50,24250,0.6875,0.135775862,0.176724138,1,10,10,10,2,40,10,490
1qbj_C,5c17_A,138,192,20,76,0.77581,54,56,24243,0.689161554,0.120654397,0.190184049,1,10,10,10,2,40,10,490
2fxa_A,5c17_A,48,98,26,76,0.66052,50,50,24218,0.741550696,0.125248509,0.133200795,1,10,10,10,2,40,10,490
5aip_B,5c17_A,39,88,27,76,0.68858,49,49,24205,0.744730679,0.107728337,0.147540984,1,10,10,10,2,40,10,490
2vge_A,1nm7_A,777,818,326,370,0.67602,41,44,24199,0.007518797,0.466165414,0.526315789,1,25,40,20,2,30,30,40
1ufm_A,3chm_A,308,356,99,149,0.64116,48,50,24189,0.62208589,0.139877301,0.23803681,1,10,10,10,1,25,40,570
1r1t_A,3chm_A,50,106,99,157,0.57338,56,58,24169,0.563567362,0.246679317,0.189753321,1,10,10,10,1,25,40,570
1oyi_A,5c17_A,20,69,30,76,0.68258,49,46,24159,0.661097852,0.101431981,0.237470167,1,10,10,10,2,40,10,490
4xrf_A,2mri_A,41,100,295,353,0.60955,59,58,24137,0.593582888,0.228163993,0.178253119,1,10,10,10,1,25,40,570
3t8r_A,5c17_A,10,63,25,75,0.68876,53,50,24103,0.640350877,0.094298246,0.265350877,1,10,10,10,2,40,10,490
4rgx_B,3chm_A,46,105,99,157,0.59995,59,58,24094,0.664529915,0.104700855,0.230769231,1,10,10,10,1,25,40,570
3pm6_A,3hzh_A,206,247,90,129,0.64338,41,39,24077,0.551351351,0.213513514,0.235135135,3,20,20,70,3,40,50,2300
5hs7_B,3chm_A,23,83,99,157,0.5643,60,58,24058,0.553191489,0.24822695,0.19858156,1,10,10,10,1,25,40,570
4awx_B,5c17_A,6,54,28,76,0.74173,48,48,24052,0.728365385,0.105769231,0.165865385,1,10,10,10,2,40,10,490
3pm6_A,1i3c_A,200,241,79,120,0.57403,41,41,24041,0.587926509,0.112860892,0.299212598,3,20,20,70,3,40,50,2300
4k2e_B,3chm_A,35,90,99,157,0.56565,55,58,24011,0.576470588,0.264705882,0.158823529,1,10,10,10,1,25,40,570
1jgs_A,5c17_A,42,92,26,76,0.72242,50,50,24007,0.715231788,0.103752759,0.181015453,1,10,10,10,2,40,10,490
1bja_A,3chm_A,20,69,99,149,0.56106,49,50,24002,0.537735849,0.122641509,0.339622642,1,10,10,10,1,25,40,570
1xd7_A,3e6d_B,23,60,169,206,0.70409,37,37,23929,0.667701863,0.059006211,0.273291925,1,10,10,10,2,60,120,1460
3pm6_A,3eul_B,206,247,72,111,0.60792,41,39,23923,0.548648649,0.216216216,0.235135135,3,20,20,70,3,40,50,2300
1q1h_A,5c17_A,16,70,19,77,0.74691,54,58,23921,0.662027833,0.10139165,0.236580517,1,10,10,10,2,40,10,490
2vge_A,1tg0_A,765,817,10,64,0.80704,52,54,23827,0,0.395256917,0.604743083,1,25,40,20,2,30,30,40
2vge_A,2bzy_A,775,815,20,57,0.72899,40,37,23820,0,0.484455959,0.515544041,1,25,40,20,2,30,30,40
2mlg_A,3e6d_B,21,59,169,205,0.60041,38,36,23810,0.625690608,0.299723757,0.074585635,1,10,10,10,2,60,120,1460
2eth_A,5c17_A,36,83,28,76,0.59396,47,48,23792,0.712230216,0.112709832,0.175059952,1,10,10,10,2,40,10,490
2gxg_A,5c17_A,37,86,27,77,0.66671,49,50,23779,0.696703297,0.107692308,0.195604396,1,10,10,10,2,40,10,490
5d4s_B,5c17_A,25,63,37,75,0.62209,38,38,23774,0.660869565,0.107246377,0.231884058,1,10,10,10,2,40,10,490
3pm6_A,3cnb_A,206,247,129,170,0.66149,41,41,23758,0.543010753,0.215053763,0.241935484,3,20,20,70,3,40,50,2300
2vge_A,2rqr_A,766,818,65,116,0.75188,52,51,23741,0.006,0.376,0.618,1,25,40,20,2,30,30,40
1bja_A,5c17_A,20,68,28,75,0.73554,48,47,23736,0.564164649,0.094430993,0.341404358,1,10,10,10,2,40,10,490
4fx0_A,5c17_A,36,94,19,76,0.65987,58,57,23734,0.842105263,0.012531328,0.145363409,1,10,10,10,2,40,10,490
5dd8_A,5c17_A,59,114,19,76,0.56347,55,57,23712,0.802494802,0.01039501,0.187110187,1,10,10,10,2,40,10,490
3b73_B,3chm_A,14,70,99,157,0.55469,56,58,23678,0.660482375,0.178107607,0.161410019,1,10,10,10,1,25,40,570
1r1t_A,5c17_A,51,98,29,76,0.65688,47,47,23658,0.616470588,0.178823529,0.204705882,1,10,10,10,2,40,10,490
3k69_A,5c17_A,17,64,29,76,0.68754,47,47,23656,0.649082569,0.068807339,0.282110092,1,10,10,10,2,40,10,490
1iv6_A,2iw5_B,381,432,381,431,0.70707,51,50,23649,0.679671458,0,0.320328542,1,10,10,60,1,20,58,1880
4k2e_B,5c17_A,35,82,28,76,0.6772,47,48,23645,0.658986175,0.177419355,0.16359447,1,10,10,10,2,40,10,490
2oqg_C,3chm_A,23,78,99,157,0.56696,55,58,23642,0.580139373,0.257839721,0.162020906,1,10,10,10,1,25,40,570
2x4h_A,5c17_A,11,66,19,77,0.76174,55,58,23641,0.760700389,0.085603113,0.153696498,1,10,10,10,2,40,10,490
2pg4_A,5c17_A,14,68,23,76,0.67604,54,53,23629,0.725490196,0.117647059,0.156862745,1,10,10,10,2,40,10,490
3l7w_A,5c17_A,11,64,22,76,0.71057,53,54,23629,0.661290323,0.177419355,0.161290323,1,10,10,10,2,40,10,490
1jgs_A,3chm_A,44,103,99,157,0.55595,59,58,23606,0.601145038,0.188931298,0.209923664,1,10,10,10,1,25,40,570
2a61_B,3chm_A,38,97,99,157,0.59404,59,58,23583,0.642045455,0.196969697,0.160984848,1,10,10,10,1,25,40,570
3pm6_A,3cz5_C,206,247,69,108,0.62398,41,39,23579,0.551351351,0.213513514,0.235135135,3,20,20,70,3,40,50,2300
3pm6_A,2qsj_B,200,241,66,105,0.57315,41,39,23574,0.594164456,0.114058355,0.291777188,3,20,20,70,3,40,50,2300
5d4s_B,3chm_A,25,63,108,150,0.56327,38,42,23552,0.637142857,0.12,0.242857143,1,10,10,10,1,25,40,570
2rdp_A,5c17_A,41,91,26,76,0.61366,50,50,23534,0.739784946,0.098924731,0.161290323,1,10,10,10,2,40,10,490
2d1h_B,5c17_A,16,70,19,76,0.71766,54,57,23511,0.774647887,0.092555332,0.132796781,1,10,10,10,2,40,10,490
1sfu_A,3e6d_B,29,66,169,206,0.63211,37,37,23493,0.646551724,0.100574713,0.252873563,1,10,10,10,2,60,120,1460
3bpv_A,5c17_A,32,85,19,76,0.73799,53,57,23447,0.725646123,0.133200795,0.141153082,1,10,10,10,2,40,10,490
2vge_A,1s1n_A,765,817,157,207,0.76929,52,50,23430,0,0.39148073,0.60851927,1,25,40,20,2,30,30,40
3zmd_A,3chm_A,47,108,99,157,0.59564,61,58,23418,0.562162162,0.225225225,0.212612613,1,10,10,10,1,25,40,570
5ffx_D,5c17_A,30,84,19,75,0.76287,54,56,23384,0.766666667,0.114814815,0.118518519,1,10,10,10,2,40,10,490
2pfb_B,3chm_A,51,110,99,157,0.58028,59,58,23362,0.650924025,0.197125257,0.151950719,1,10,10,10,1,25,40,570
4gcv_C,5c17_A,25,74,26,76,0.73765,49,50,23361,0.725842697,0.094382022,0.179775281,1,10,10,10,2,40,10,490
5e1w_A,5c17_A,40,95,26,78,0.68237,55,52,23345,0.681992337,0.120689655,0.197318008,1,10,10,10,2,40,10,490
3kp7_A,5c17_A,40,89,26,76,0.73249,49,50,23310,0.758883249,0.053299492,0.187817259,1,10,10,10,2,40,10,490
4awx_B,2mri_A,6,54,295,345,0.5742,48,50,23308,0.725728155,0.116504854,0.15776699,1,10,10,10,1,25,40,570
1ub9_A,5c17_A,18,67,26,76,0.68587,49,50,23302,0.717391304,0.167391304,0.115217391,1,10,10,10,2,40,10,490
2bv6_A,2mri_A,47,101,300,351,0.55712,54,51,23286,0.500998004,0.255489022,0.243512974,1,10,10,10,1,25,40,570
4xrf_A,5c17_A,40,88,27,76,0.61241,48,49,23271,0.69379015,0.164882227,0.141327623,1,10,10,10,2,40,10,490
2vge_A,2dl4_A,766,817,11,59,0.77834,51,48,23270,0,0.386831276,0.613168724,1,25,40,20,2,30,30,40
2ma3_A,5c17_A,625,661,38,77,0.56859,36,39,23176,0.738203957,0.127853881,0.133942161,1,10,10,10,2,40,10,490
3e0j_B,5c17_A,10,51,29,70,0.5657,41,41,23171,0.819951338,0.04379562,0.136253041,1,10,10,1300,2,40,10,490
1r7j_A,2mri_A,19,57,306,343,0.55331,38,37,23148,0.638176638,0.190883191,0.170940171,1,10,10,10,1,25,40,570
3zmd_A,5c17_A,45,99,22,78,0.63199,54,56,23137,0.631474104,0.165338645,0.203187251,1,10,10,10,2,40,10,490
3ke2_B,5c17_A,22,69,28,76,0.55718,47,48,23083,0.715277778,0.111111111,0.173611111,1,10,10,10,2,40,10,490
4wcg_A,5c17_A,224,274,27,76,0.7248,50,49,23081,0.690631808,0.08496732,0.224400871,1,10,10,10,2,40,10,490
3pm6_A,3c3m_A,206,247,64,105,0.55319,41,41,23078,0.53298153,0.218997361,0.248021108,3,20,20,70,3,40,50,2300
4hw0_C,3chm_A,13,70,99,157,0.56111,57,58,23071,0.606003752,0.232645403,0.161350844,1,10,10,10,1,25,40,570
2vge_A,2kgt_A,766,818,16,70,0.58471,52,54,23069,0,0.37972167,0.62027833,1,25,40,20,2,30,30,40
3gw2_A,5c17_A,29,77,28,77,0.63259,48,49,23060,0.613138686,0.228710462,0.158150852,1,10,10,10,2,40,10,490
2nnn_C,5c17_A,40,90,26,76,0.66213,50,50,23059,0.677200903,0.128668172,0.194130926,1,10,10,10,2,40,10,490
5flx_Z,5c17_A,55,105,26,77,0.62211,50,51,23056,0.684095861,0.100217865,0.215686275,1,10,10,10,2,40,10,490
4rgx_B,2mri_A,52,106,302,353,0.59954,54,51,23031,0.643373494,0.113253012,0.243373494,1,10,10,10,1,25,40,570
3f6o_B,3chm_A,19,74,99,157,0.57731,55,58,23031,0.562130178,0.252465483,0.185404339,1,10,10,10,1,25,40,570
2fbh_A,5c17_A,38,87,26,77,0.66904,49,51,22970,0.708677686,0.088842975,0.202479339,1,10,10,10,2,40,10,490
2ma3_A,3e6d_B,625,661,169,205,0.59382,36,36,22969,0.741140216,0.126348228,0.132511556,1,10,10,10,2,60,120,1460
4aih_F,5c17_A,30,84,19,75,0.61464,54,56,22962,0.765957447,0.010638298,0.223404255,1,10,10,10,2,40,10,490
1r7j_A,5c17_A,20,59,37,75,0.7133,39,38,22943,0.626702997,0.21253406,0.160762943,1,10,10,10,2,40,10,490
3m8e_B,5c17_A,23,79,21,76,0.75239,56,55,22936,0.573705179,0.139442231,0.28685259,1,10,10,10,2,40,10,490
2bv6_A,3chm_A,40,97,97,156,0.65255,57,59,22922,0.535911602,0.226519337,0.237569061,1,10,10,10,1,25,40,570
5c17_A,3e6d_B,38,76,169,206,0.59696,38,37,22915,0.631724138,0.142068966,0.226206897,2,40,10,490,2,60,120,1460
1qgp_A,5c17_A,142,193,28,76,0.71986,51,48,22900,0.658757062,0.155932203,0.185310734,1,10,10,10,2,40,10,490
3f6o_B,5c17_A,22,70,28,76,0.6051,48,48,22895,0.593181818,0.202272727,0.204545455,1,10,10,10,2,40,10,490
4hw0_C,5c17_A,12,63,28,77,0.62292,51,49,22878,0.665245203,0.159914712,0.174840085,1,10,10,10,2,40,10,490
2vge_A,2ggr_A,778,819,257,295,0.66711,41,38,22876,0.007653061,0.484693878,0.507653061,1,25,40,20,2,30,30,40
4yif_F,5c17_A,35,85,26,76,0.71227,50,50,22854,0.778869779,0.088452088,0.132678133,1,10,10,10,2,40,10,490
2a61_B,5c17_A,37,86,27,75,0.6772,49,48,22836,0.751141553,0.100456621,0.148401826,1,10,10,10,2,40,10,490
3i71_B,5c17_A,113,161,28,75,0.61626,48,47,22791,0.717889908,0.151376147,0.130733945,1,10,10,10,2,40,10,490
3e6m_A,5c17_A,50,104,20,78,0.71004,54,58,22790,0.720720721,0.117117117,0.162162162,1,10,10,10,2,40,10,490
3gw2_A,3chm_A,29,84,99,157,0.59059,55,58,22775,0.529531568,0.319755601,0.150712831,1,10,10,10,1,25,40,570
4rgx_B,3e6d_B,57,95,169,206,0.56871,38,37,22771,0.72909699,0.070234114,0.200668896,1,10,10,10,2,60,120,1460
2nnn_C,2mri_A,42,90,295,345,0.55285,48,50,22755,0.654589372,0.147342995,0.198067633,1,10,10,10,1,25,40,570
5cyv_A,5c17_A,36,89,19,75,0.6675,53,56,22750,0.730941704,0.114349776,0.15470852,1,10,10,10,2,40,10,490
2mh2_A,2mri_A,15,70,295,347,0.57255,55,52,22631,0.619587629,0.219587629,0.160824742,1,10,10,10,1,25,40,570
5hs7_B,3e6d_B,31,69,168,205,0.55542,38,37,22595,0.605555556,0.208333333,0.186111111,1,10,10,10,2,60,120,1460
2vge_A,1gcq_C,777,818,617,658,0.72219,41,41,22580,0,0.477272727,0.522727273,1,25,40,20,2,30,30,40
2od5_A,5c17_A,12,70,19,73,0.57283,58,54,22558,0.590664273,0.21005386,0.199281867,1,10,10,10,2,40,10,490
4b8x_B,3chm_A,61,122,99,157,0.5676,61,58,22553,0.676806084,0.19391635,0.129277567,1,10,10,10,1,25,40,570
4ggg_A,5c17_A,30,77,28,76,0.70468,47,48,22517,0.705188679,0.143867925,0.150943396,1,10,10,10,2,40,10,490
1xmk_A,5c17_A,297,352,19,77,0.73755,55,58,22454,0.699065421,0.138317757,0.162616822,1,10,10,10,2,40,10,490
4h9d_A,4uhq_A,47,86,732,771,0.72455,39,39,22443,0.518624642,0.232091691,0.249283668,3,30,40,60,3,90,540,10
2qvo_A,5c17_A,11,68,19,76,0.77703,57,57,22438,0.705009276,0.146567718,0.148423006,1,10,10,10,2,40,10,490
2vge_A,4lnp_A,767,817,802,849,0.85127,50,47,22425,0,0.402489627,0.597510373,1,25,40,20,2,30,30,40
5flx_Z,3chm_A,55,112,97,155,0.59267,57,58,22393,0.583018868,0.156603774,0.260377358,1,10,10,10,1,25,40,570
2xda_A,3viv_A,55,102,37,88,0.58767,47,51,22369,0.566585956,0.283292978,0.150121065,3,40,50,9100,3,90,226,10
3b73_B,5c17_A,4,56,26,76,0.60484,52,50,22348,0.702040816,0.051020408,0.246938776,1,10,10,10,2,40,10,490
4ou0_A,3e6d_B,224,262,169,206,0.56024,38,37,22339,0.679878049,0.134146341,0.18597561,1,10,10,10,2,60,120,1460
2v79_A,5c17_A,33,88,25,76,0.62138,55,51,22336,0.669245648,0.110251451,0.220502901,1,10,10,10,2,40,10,490
3t8r_A,3chm_A,12,70,99,157,0.56133,58,58,22320,0.544921875,0.17578125,0.279296875,1,10,10,10,1,25,40,570
4esb_A,5c17_A,9,66,20,76,0.68431,57,56,22317,0.685114504,0.141221374,0.173664122,1,10,10,10,2,40,10,490
5d4s_B,3e6d_B,26,63,169,206,0.65371,37,37,22304,0.678787879,0.112121212,0.209090909,1,10,10,10,2,60,120,1460
2heo_A,3chm_A,117,166,99,149,0.55439,49,50,22287,0.686440678,0.169491525,0.144067797,1,10,10,10,1,25,40,570
2heo_A,5c17_A,115,165,26,76,0.7326,50,50,22277,0.733193277,0.130252101,0.136554622,1,10,10,10,2,40,10,490
2vge_A,1jo8_A,768,817,8,56,0.8112,49,48,22240,0,0.407327586,0.592672414,1,25,40,20,2,30,30,40
2ek5_B,5c17_A,26,66,37,77,0.58773,40,40,22194,0.6,0.155555556,0.244444444,1,10,10,10,2,40,10,490
2vge_A,4esr_B,764,817,1057,1108,0.83664,53,51,22187,0,0.415354331,0.584645669,1,25,40,20,2,30,30,40
3gw2_A,2mri_A,29,84,295,353,0.60241,55,58,22178,0.540372671,0.320910973,0.138716356,1,10,10,10,1,25,40,570
4hf0_B,3e6d_B,24,62,169,206,0.63802,38,37,22174,0.71559633,0.091743119,0.19266055,1,10,10,10,2,60,120,1460
4mnu_B,5c17_A,29,82,19,76,0.76609,53,57,22143,0.699047619,0.104761905,0.196190476,1,10,10,10,2,40,10,490
5duk_B,5c17_A,15,63,27,76,0.72809,48,49,22082,0.78891258,0.081023454,0.130063966,1,10,10,10,2,40,10,490
3kp7_A,3chm_A,42,88,99,149,0.58625,46,50,22074,0.730870712,0.065963061,0.203166227,1,10,10,10,1,25,40,570
1xmk_A,3e6d_B,312,350,169,207,0.59741,38,38,22041,0.630853994,0.179063361,0.190082645,1,10,10,10,2,60,120,1460
4asn_A,5c17_A,13,73,19,77,0.69891,60,58,22020,0.64587156,0.089908257,0.264220183,1,10,10,10,2,40,10,490
3txn_A,5c17_A,335,384,29,78,0.61368,49,49,22018,0.605855856,0.155405405,0.238738739,1,25,40,570,2,40,10,490
1yyv_B,5c17_A,33,85,22,78,0.65816,52,56,22015,0.67628866,0.164948454,0.158762887,1,10,10,10,2,40,10,490
5kvr_A,3e6d_B,34,71,169,206,0.69352,37,37,21969,0.694402421,0.099848714,0.205748865,1,10,10,10,2,60,120,1460
4wcg_A,3txn_A,225,278,334,390,0.72611,53,56,21956,0.628392484,0.118997912,0.252609603,1,10,10,10,1,25,40,570
1xd7_A,3f0p_A,13,53,26,66,0.62427,40,40,21928,0.787114846,0.028011204,0.18487395,1,10,10,10,2,40,10,490
5flx_Z,2mri_A,62,105,302,345,0.5688,43,43,21889,0.625,0.127604167,0.247395833,1,10,10,10,1,25,40,570
4kmf_A,5c17_A,10,57,28,76,0.69296,47,48,21881,0.696969697,0.104895105,0.198135198,1,10,10,10,2,40,10,490
3nqo_B,3e6d_B,56,94,169,206,0.64445,38,37,21866,0.683890578,0.124620061,0.191489362,1,10,10,10,2,60,120,1460
2vge_A,2yun_A,765,815,14,61,0.78828,50,47,21851,0,0.391213389,0.608786611,1,25,40,20,2,30,30,40
2vge_A,1y0m_A,773,817,806,848,0.74438,44,42,21835,0,0.456937799,0.543062201,1,25,40,20,2,30,30,40
2b0l_C,3chm_A,189,245,99,156,0.55682,56,57,21816,0.355421687,0.246987952,0.397590361,1,10,10,10,1,25,40,570
2ek5_B,3e6d_B,27,65,169,206,0.61968,38,37,21807,0.632835821,0.137313433,0.229850746,1,10,10,10,2,60,120,1460
2ma3_A,3txn_A,625,661,344,381,0.55118,36,37,21752,0.738461538,0.130769231,0.130769231,1,10,10,10,1,25,40,570
2xvc_A,5c17_A,216,260,30,74,0.58676,44,44,21742,0.738693467,0.150753769,0.110552764,1,10,10,10,2,40,10,490
4awx_B,3txn_A,7,54,335,382,0.71322,47,47,21723,0.715,0.115,0.17,1,10,10,10,1,25,40,570
